,score,Emily_score,Greg_score,Jamal_score,Lakisha_score
0,0.36454543,0.36454543,0.36454543,0.36454543,0.36454543
1,0.11161985,0.10002862,0.07144802,0.10464194,0.05515061
2,0.19363183,0.19363183,0.19363183,0.19363183,0.19363183
3,0.16805199,0.16092534,0.16459498,0.19868879,0.15007563
4,0.069586255,0.069586255,0.069586255,0.069586255,0.069586255
5,0.60467786,0.40338975,0.45275608,0.40962052,0.35792625
6,0.5876557,0.09375279,0.051528737,0.09794506,0.037695765
7,0.07099401,0.081228465,0.056188673,0.07832515,0.059618477
8,0.92999506,0.92999506,0.92999506,0.92999506,0.92999506
9,0.04241521,0.090906985,0.1087202,0.13577856,0.09659876
10,0.1463716,0.10199597,0.061057925,0.13035923,0.054563917
11,0.18514988,0.059506565,0.06332553,0.08004171,0.060062647
12,0.77974755,0.77974755,0.77974755,0.77974755,0.77974755
13,0.06612763,0.038589958,0.042411003,0.054803263,0.04364692
14,0.9480856,0.9480856,0.9480856,0.9480856,0.9480856
15,0.59392875,0.06408944,0.06806249,0.07168562,0.06475552
16,0.8048378,0.0660745,0.059452698,0.08954959,0.049407553
17,0.33508337,0.043446504,0.028684357,0.04066716,0.037585367
18,0.5345892,0.7654325,0.76869386,0.7684238,0.7683841
19,0.06625908,0.061860472,0.06361246,0.0672978,0.06140293
20,0.21575539,0.54798836,0.6158038,0.6045856,0.6049397
21,0.35175884,0.078498445,0.07910571,0.11674121,0.08158845
22,0.15269062,0.15269062,0.15269062,0.15269062,0.15269062
23,0.11843934,0.11032726,0.13889949,0.11484452,0.11667617
24,0.21342082,0.18953042,0.24168982,0.24161863,0.20798258
25,0.026111994,0.057868112,0.045767933,0.061760347,0.04440001
26,0.0764278,0.0764278,0.0764278,0.0764278,0.0764278
27,0.06959221,0.08683103,0.04707143,0.08921772,0.052882586
28,0.93232584,0.93232584,0.93232584,0.93232584,0.93232584
29,0.64607996,0.07171703,0.08542263,0.09488664,0.07919254
30,0.46100333,0.09269333,0.09926146,0.11209068,0.09416253
31,0.026463177,0.026463177,0.026463177,0.026463177,0.026463177
32,0.20659216,0.18909553,0.28615317,0.26470366,0.18376453
33,0.9323713,0.09375279,0.051528737,0.09794506,0.037695765
34,0.6708429,0.08618418,0.09547503,0.10744334,0.08654777
35,0.06631899,0.0627226,0.057043932,0.069652975,0.05615039
36,0.31494796,0.31494796,0.31494796,0.31494796,0.31494796
37,0.071174376,0.056835182,0.039574977,0.08745255,0.039405502
38,0.11524104,0.09375279,0.051528737,0.09794506,0.037695765
39,0.052188963,0.052188963,0.052188963,0.052188963,0.052188963
40,0.69542736,0.4415993,0.46527892,0.46306622,0.44509152
41,0.1039094,0.07603318,0.08101548,0.08616288,0.078392096
42,0.31089434,0.35827434,0.41988677,0.43121403,0.3596016
43,0.12978989,0.038384892,0.03916637,0.051312834,0.043276962
44,0.035722226,0.035722226,0.035722226,0.035722226,0.035722226
45,0.03756527,0.06892121,0.06639082,0.08459504,0.06301582
46,0.8218445,0.8218445,0.8218445,0.8218445,0.8218445
47,0.05896715,0.05896715,0.05896715,0.05896715,0.05896715
48,0.10653287,0.10653287,0.10653287,0.10653287,0.10653287
49,0.08889842,0.08889842,0.08889842,0.08889842,0.08889842
50,0.27281052,0.1745785,0.11088196,0.15185636,0.12630789
51,0.052114107,0.03974004,0.05295088,0.05747797,0.054166667
52,0.07582633,0.061497394,0.052737176,0.072822146,0.054033183
53,0.89397275,0.5448159,0.6318938,0.5780638,0.56143445
54,0.12075338,0.05641154,0.086556256,0.0874827,0.065924495
55,0.08563698,0.07985758,0.067657866,0.09326881,0.06767581
56,0.5853701,0.5853701,0.5853701,0.5853701,0.5853701
57,0.10043285,0.10043285,0.10043285,0.10043285,0.10043285
58,0.6364068,0.6364068,0.6364068,0.6364068,0.6364068
59,0.53490317,0.50515324,0.5876557,0.5876557,0.5194926
60,0.24405968,0.17573601,0.24048448,0.2553387,0.18480274
