,score,Emily_score,Greg_score,Jamal_score,Lakisha_score
62,0.04841263,0.04841263,0.04841263,0.04841263,0.04841263
63,0.08222138,0.052772906,0.052897308,0.0636128,0.057206098
64,0.14886478,0.047165528,0.04849873,0.062364344,0.03806499
65,0.069069795,0.05980317,0.058295574,0.08313498,0.05356542
66,0.07053433,0.07487346,0.08600388,0.11475136,0.07463538
67,0.56011,0.07937778,0.050474208,0.072563834,0.04198033
68,0.0657309,0.0657309,0.0657309,0.0657309,0.0657309
69,0.1487221,0.116355486,0.123661876,0.12745824,0.11526117
70,0.10430574,0.13994068,0.14886452,0.19554204,0.08647189
71,0.09313798,0.09313798,0.09313798,0.09313798,0.09313798
72,0.08525332,0.085926,0.10159044,0.09853893,0.073762946
73,0.15839894,0.15839894,0.15839894,0.15839894,0.15839894
74,0.07376428,0.07474761,0.08993981,0.09995235,0.07218424
75,0.14606315,0.14670312,0.19781366,0.17306384,0.12393368
76,0.8060606,0.062123638,0.07492427,0.08872124,0.06328027
77,0.50349814,0.5471287,0.5154597,0.5339135,0.43913725
78,0.24317034,0.2169589,0.25666818,0.3059918,0.18789895
79,0.15069018,0.09375279,0.051528737,0.09794506,0.037695765
80,0.09384281,0.08047818,0.1080665,0.13749866,0.098756365
81,0.3686978,0.3686978,0.3686978,0.3686978,0.3686978
82,0.24135603,0.24135603,0.24135603,0.24135603,0.24135603
83,0.25493416,0.25493416,0.25493416,0.25493416,0.25493416
84,0.03974983,0.026407659,0.05283629,0.04920496,0.025645573
85,0.16838692,0.16838692,0.16838692,0.16838692,0.16838692
86,0.051960934,0.058804113,0.058136825,0.07998042,0.05403324
87,0.9897058,0.98507434,0.9897058,0.9884592,0.98635167
88,0.057879597,0.0764755,0.06729405,0.10693315,0.060005043
89,0.09122978,0.059763882,0.05674784,0.07472413,0.059998598
90,0.733046,0.733046,0.733046,0.733046,0.733046
91,0.07769406,0.097816534,0.07844787,0.1488454,0.055413947
92,0.17865424,0.050163995,0.058990587,0.0791877,0.10505329
93,0.14248328,0.18345806,0.2383508,0.2496662,0.16025177
94,0.27574265,0.23328678,0.27247348,0.28111258,0.23952459
95,0.07803225,0.07803225,0.07803225,0.07803225,0.07803225
96,0.37267208,0.23992671,0.2432005,0.29988682,0.24211013
97,0.72782695,0.8567105,0.898466,0.88715774,0.88171273
98,0.06773738,0.08427559,0.055528354,0.07061203,0.04789719
99,0.40320456,0.057047453,0.10526438,0.08640749,0.056660056
100,0.16582248,0.16582248,0.16582248,0.16582248,0.16582248
101,0.1065537,0.1065537,0.1065537,0.1065537,0.1065537
102,0.052196722,0.06331049,0.052225217,0.08147296,0.042829044
103,0.062015958,0.062015958,0.062015958,0.062015958,0.062015958
104,0.15060993,0.15060993,0.15060993,0.15060993,0.15060993
105,0.49385116,0.49385116,0.49385116,0.49385116,0.49385116
106,0.10762452,0.10762452,0.10762452,0.10762452,0.10762452
107,0.7683802,0.8420825,0.8785311,0.8606264,0.7627172
108,0.7116288,0.91214263,0.9156528,0.91047424,0.85690844
109,0.08599247,0.0932826,0.08630909,0.0952641,0.06846678
110,0.74458146,0.06991837,0.06371292,0.08564872,0.05625753
111,0.31089434,0.31089434,0.31089434,0.31089434,0.31089434
112,0.16627884,0.08704586,0.061449178,0.07829346,0.07635641
113,0.15319495,0.15319495,0.15319495,0.15319495,0.15319495
114,0.0968515,0.041725628,0.034617633,0.053338047,0.03831494
115,0.19023146,0.15487179,0.19700816,0.23958117,0.19186087
116,0.09582254,0.09582254,0.09582254,0.09582254,0.09582254
117,0.5334346,0.0064861574,0.008230365,0.007750178,0.005851216
118,0.8606264,0.86000293,0.8606264,0.8606264,0.8606264
119,0.05427879,0.04715637,0.059243068,0.06799712,0.050207313
120,0.10803431,0.10657344,0.0448762,0.14510675,0.06768995
121,0.85721165,0.32907712,0.36992288,0.34618142,0.3753076
122,0.09646254,0.14850065,0.1938047,0.22690098,0.17325318
123,0.92156917,0.90178066,0.92833203,0.9175194,0.909587
124,0.8361633,0.09375281,0.051528737,0.09794506,0.037695765
125,0.06411968,0.0661729,0.07080529,0.1022525,0.05557111
126,0.7448858,0.7448858,0.7448858,0.7448858,0.7448858
127,0.2883464,0.31490526,0.34564787,0.3363474,0.28240007
128,0.10041641,0.10041641,0.10041641,0.10041641,0.10041641
129,0.13292283,0.13292283,0.13292283,0.13292283,0.13292283
130,0.7733526,0.108210415,0.14035225,0.16288975,0.11160559
131,0.07324141,0.018373178,0.10362065,0.060361143,0.025451822
132,0.24017337,0.0069158487,0.023192024,0.015651258,0.012933793
133,0.60473883,0.60473883,0.60473883,0.60473883,0.60473883
134,0.1493161,0.1493161,0.1493161,0.1493161,0.1493161
135,0.10011053,0.17521153,0.19515423,0.23756364,0.15577383
136,0.7684464,0.5154597,0.6364068,0.6324838,0.37911788
137,0.73701495,0.21250804,0.28954458,0.24269608,0.20026965
138,0.07395221,0.07395221,0.07395221,0.07395221,0.07395221
139,0.056972753,0.045354437,0.035569936,0.06570358,0.031637654
140,0.44623792,0.09337035,0.07295631,0.124785654,0.07004859
141,0.7677346,0.7677346,0.7677346,0.7677346,0.7677346
142,0.08895553,0.101659715,0.108079635,0.16880405,0.07209953
143,0.8355208,0.49483302,0.54398084,0.53490317,0.53490317
144,0.56617296,0.56617296,0.56617296,0.56617296,0.56617296
145,0.11837716,0.0034992932,0.0066539794,0.0055356096,0.0083758775
146,0.6470056,0.6531654,0.6725272,0.65720737,0.6353516
147,0.4305564,0.52460873,0.5597506,0.58809674,0.5373012
148,0.8606264,0.8355208,0.8606264,0.8590327,0.857338
149,0.098115265,0.07847094,0.10618576,0.1379288,0.086778864
150,0.13955769,0.13955769,0.13955769,0.13955769,0.13955769
151,0.090854704,0.090854704,0.090854704,0.090854704,0.090854704
152,0.07431062,0.052964453,0.0515475,0.07337819,0.06250748
153,0.25229532,0.45517188,0.479905,0.47423792,0.45930094
154,0.16317767,0.17180942,0.21101949,0.24054463,0.16854864
155,0.9480856,0.9181034,0.932567,0.9325749,0.92624944
156,0.067485034,0.106573455,0.0448762,0.086767636,0.039197754
157,0.08621624,0.08621624,0.08621624,0.08621624,0.08621624
158,0.6660526,0.6660526,0.6660526,0.6660526,0.6660526
159,0.04957404,0.07276964,0.06799145,0.102613226,0.06358114
160,0.05810611,0.06495251,0.058785014,0.06912127,0.061629433
161,0.077294305,0.077294305,0.077294305,0.077294305,0.077294305
162,0.07338174,0.09857528,0.089616925,0.14902519,0.066375606
163,0.8912882,0.9328348,0.94992846,0.9480856,0.9480856
164,0.8148583,0.8148583,0.8148583,0.8148583,0.8148583
165,0.32055503,0.32055503,0.32055503,0.32055503,0.32055503
166,0.05527128,0.05527128,0.05527128,0.05527128,0.05527128
167,0.08237279,0.09431292,0.08220542,0.10949755,0.07303774
168,0.09062402,0.09062402,0.09062402,0.09062402,0.09062402
169,0.1548944,0.1548944,0.1548944,0.1548944,0.1548944
170,0.2072943,0.2072943,0.2072943,0.2072943,0.2072943
171,0.14681582,0.21226107,0.21362491,0.18773623,0.118630774
172,0.53490317,0.55117005,0.5764572,0.5749222,0.5551924
173,0.28268492,0.08130774,0.10136429,0.11949653,0.07908103
