,score,he_score,she_score,they_score
0,0.1301394,0.15087584,0.14894865,0.14981931
1,0.11532043,0.16200097,0.19374233,0.15211944
2,0.07445576,0.051901173,0.07840842,0.051082287
3,0.5876557,0.5888605,0.5876557,0.57270026
4,0.10902423,0.15480873,0.25580737,0.13592923
5,0.5154597,0.56301033,0.5696136,0.5294433
6,0.13916627,0.28910583,0.2956316,0.1830439
7,0.80261403,0.794439,0.8034742,0.7700852
8,0.065508455,0.08541379,0.11599896,0.07040843
9,0.03620319,0.038009766,0.046595797,0.03393385
10,0.13408014,0.15049382,0.23770574,0.14898029
11,0.08522279,0.08739652,0.094668224,0.08729429
12,0.97984755,0.94992846,0.958017,0.94824314
13,0.9156528,0.9156528,0.9156528,0.9156528
14,0.37428555,0.2836994,0.4421995,0.2846035
15,0.119828805,0.119828805,0.119828805,0.119828805
16,0.09958929,0.09459805,0.09673298,0.078730255
17,0.09429817,0.100752205,0.14911447,0.08085076
18,0.038120974,0.07010355,0.07766195,0.044459008
19,0.19562905,0.30864733,0.36339048,0.25891238
20,0.53490317,0.9897058,0.49500573,0.28708747
21,0.030664233,0.03922392,0.058188047,0.03268771
22,0.08417628,0.14321624,0.18548428,0.10339845
23,0.07077095,0.08888361,0.10461027,0.07709142
24,0.13733178,0.13068594,0.15084364,0.13317478
25,0.64373094,0.77183884,0.7515223,0.5956412
26,0.15361643,0.15661769,0.17797986,0.1489512
27,0.16350871,0.18172763,0.1948963,0.15130116
28,0.08653985,0.08899392,0.100266375,0.08826035
29,0.15644789,0.21513811,0.24358909,0.17571494
30,0.09583549,0.09583549,0.09583549,0.09583549
31,0.07703174,0.09298401,0.13544652,0.08615029
32,0.051921498,0.061685655,0.080313206,0.051921498
33,0.056707323,0.09727759,0.12379842,0.07758536
34,0.5154597,0.446532,0.32903776,0.31089434
35,0.11477913,0.119648926,0.11626936,0.11477913
36,0.8060606,0.83253914,0.8227767,0.8248221
37,0.10418654,0.0739625,0.0812686,0.07841524
38,0.023053462,0.02585815,0.037508853,0.023053462
39,0.045184027,0.08871954,0.10829506,0.058496967
40,0.5154597,0.52451605,0.5163392,0.5154597
41,0.02607945,0.026495166,0.03874862,0.027012631
42,0.121307224,0.14601506,0.18099923,0.10348728
43,0.09133514,0.10171629,0.1429703,0.081148446
44,0.058717735,0.09319403,0.1221085,0.0801722
45,0.09251611,0.13019611,0.1402526,0.09370438
46,0.10204868,0.09720613,0.12051869,0.09259777
47,0.11331578,0.11665978,0.13254252,0.12135859
