,ID,Text_length,Sentiment_polarity
0,345,medium 100-500,Pretty negative
1,346,medium 100-500,Neutral
2,347,medium 100-500,Pretty negative
3,348,long >500,Pretty positive
4,349,medium 100-500,Pretty positive
5,350,short <100,Neutral
6,351,short <100,Pretty negative
7,352,medium 100-500,Pretty positive
8,353,medium 100-500,Neutral
9,354,short <100,Pretty positive
10,355,medium 100-500,Pretty positive
11,356,medium 100-500,Pretty positive
12,357,long >500,Pretty positive
13,358,short <100,Pretty negative
14,359,long >500,Pretty positive
15,360,medium 100-500,Neutral
16,361,medium 100-500,Pretty negative
17,362,short <100,Quite negative
18,363,short <100,Pretty negative
19,364,short <100,Pretty negative
20,365,short <100,Quite negative
21,366,medium 100-500,Pretty positive
22,367,medium 100-500,Pretty positive
23,368,short <100,Neutral
24,369,long >500,Pretty positive
25,370,short <100,Neutral
26,371,short <100,Pretty positive
27,372,medium 100-500,Pretty positive
28,373,medium 100-500,Pretty positive
29,374,medium 100-500,Pretty negative
30,375,short <100,Pretty positive
31,376,medium 100-500,Pretty positive
32,377,short <100,Pretty positive
33,378,medium 100-500,Pretty positive
34,379,long >500,Pretty negative
35,380,medium 100-500,Pretty positive
36,381,long >500,Neutral
37,382,long >500,Pretty positive
38,383,long >500,Pretty positive
39,384,long >500,Pretty positive
40,385,medium 100-500,Pretty positive
41,386,short <100,Neutral
42,387,short <100,Very positive
43,388,long >500,Pretty positive
44,389,short <100,Neutral
45,390,short <100,Pretty negative
46,391,medium 100-500,Pretty positive
47,392,medium 100-500,Pretty negative
48,393,short <100,Neutral
49,394,short <100,Neutral
50,395,long >500,Pretty positive
51,396,medium 100-500,Pretty negative
52,397,long >500,Pretty positive
53,398,short <100,Neutral
54,399,short <100,Neutral
55,400,medium 100-500,Pretty positive
56,401,medium 100-500,Pretty positive
57,402,short <100,Neutral
58,403,medium 100-500,Pretty positive
59,404,long >500,Pretty negative
60,405,medium 100-500,Pretty negative
61,406,short <100,Neutral
62,407,short <100,Pretty positive
63,408,medium 100-500,Neutral
64,409,medium 100-500,Pretty negative
65,410,short <100,Pretty positive
66,411,long >500,Pretty positive
67,412,short <100,Pretty positive
68,413,medium 100-500,Pretty positive
69,414,medium 100-500,Pretty positive
70,415,medium 100-500,Neutral
71,416,medium 100-500,Pretty positive
72,417,long >500,Pretty negative
73,418,short <100,Neutral
74,419,short <100,Neutral
75,420,short <100,Neutral
76,421,medium 100-500,Pretty positive
77,422,long >500,Neutral
78,423,medium 100-500,Pretty positive
79,424,long >500,Pretty positive
80,425,medium 100-500,Pretty positive
81,426,short <100,Pretty negative
82,427,long >500,Pretty negative
83,428,medium 100-500,Pretty positive
84,429,long >500,Pretty positive
85,430,long >500,Pretty positive
86,431,medium 100-500,Pretty negative
87,432,short <100,Pretty positive
88,433,medium 100-500,Pretty negative
89,434,short <100,Neutral
90,435,medium 100-500,Pretty negative
91,436,medium 100-500,Pretty positive
92,437,medium 100-500,Pretty positive
93,438,medium 100-500,Neutral
94,439,short <100,Neutral
95,440,medium 100-500,Pretty positive
96,441,short <100,Pretty negative
97,442,long >500,Pretty negative
98,443,long >500,Pretty positive
99,444,short <100,Pretty negative
100,445,long >500,Pretty positive
101,446,short <100,Neutral
102,447,medium 100-500,Neutral
103,448,short <100,Pretty negative
104,449,medium 100-500,Pretty negative
105,450,long >500,Pretty positive
106,451,long >500,Pretty negative
107,452,medium 100-500,Pretty negative
108,453,long >500,Pretty positive
109,454,short <100,Pretty positive
110,455,medium 100-500,Pretty positive
111,456,medium 100-500,Pretty positive
112,457,long >500,Pretty negative
113,458,medium 100-500,Pretty positive
114,459,long >500,Pretty positive
115,460,medium 100-500,Pretty positive
116,461,medium 100-500,Pretty positive
117,462,medium 100-500,Pretty positive
118,463,medium 100-500,Pretty negative
119,464,short <100,Neutral
120,465,medium 100-500,Pretty negative
121,466,medium 100-500,Pretty negative
122,467,medium 100-500,Pretty positive
123,468,medium 100-500,Pretty positive
124,469,short <100,Neutral
125,470,medium 100-500,Pretty positive
126,471,medium 100-500,Pretty negative
127,472,long >500,Pretty negative
128,473,medium 100-500,Pretty positive
129,474,medium 100-500,Pretty positive
130,475,short <100,Pretty positive
131,476,short <100,Neutral
132,477,long >500,Pretty negative
133,478,short <100,Neutral
